A,W,MT,ID
256,16,1240,4
256,16,1029,4
256,16,1099,4
256,16,1029,4
256,16,1066,4
256,16,1098,4
256,16,875,4
256,16,953,4
256,16,1070,4
512,64,833,3
512,64,917,3
512,64,875,3
512,64,833,3
512,64,973,3
512,64,890,3
512,64,945,3
512,64,806,3
512,64,897,3
512,16,1345,5
512,16,1113,5
512,16,1065,5
512,16,1008,5
512,16,1226,5
512,16,1163,5
512,16,1198,5
512,16,995,5
512,16,1288,5
512,32,980,4
512,32,868,4
512,32,959,4
512,32,869,4
512,32,938,4
512,32,891,4
512,32,1044,4
512,32,1121,4
512,32,855,4
256,64,693,2
256,64,876,2
256,64,693,2
256,64,918,2
256,64,658,2
256,64,701,2
256,64,637,2
256,64,809,2
256,64,741,2
128,32,1001,2
128,32,716,2
128,32,776,2
128,32,637,2
128,32,770,2
128,32,799,2
128,32,757,2
128,32,994,2
128,32,707,2
128,64,679,2
128,64,610,2
128,64,688,2
128,64,656,2
128,64,644,2
128,64,548,2
128,64,616,2
128,64,559,2
128,64,610,2
256,32,910,3
256,32,763,3
256,32,897,3
256,32,973,3
256,32,835,3
256,32,706,3
256,32,851,3
256,32,712,3
256,32,959,3
128,16,952,3
128,16,777,3
128,16,647,3
128,16,817,3
128,16,639,3
128,16,889,3
128,16,726,3
128,16,640,3
128,16,737,3
